Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING JUNE, 2015",,,,,,,,
76,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,2.23,0.03,
77,LUTHER CORPORATE SERVICES P LTD,Singapore,INDIA HOLDING PTE LTD,REGION NOT INDICATED,FINANCIAL AND STRATEGIC CONSULTANCY AND ADVISORY SERVICES,0.10,0.00,
78,GREENLAM INDUSTRIES LTD,Mauritius,WESTBRIDGE CROSSOVER FUND LLC,REGION NOT INDICATED,"MFG OF LAMINATES, DECORATIVE VENEERS AND ENGINEERED WOOD FLOORING",350.46,5.49,
79,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.06,0.00,
80,FAMIC TECHNOLOGIES PVT LTD,Canada,FAMIC TECHNOLOGIES INC,REGION NOT INDICATED,IT PRODUCTS AND SERVICES,0.10,0.00,
81,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,"REGION NOT
INDICATED",SOFTWARE DEVELOPMENT,0.52,0.01,
82,APAR TECHNOLOGIES PVT LTD,Singapore,APAR TECHNOLOGIES PTE LTD,REGION NOT INDICATED,IT AND SOFTWARE SERVICES,0.05,0.00,
83,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,"REGION NOT
INDICATED",SOFTWARE DEVELOPMENT,0.48,0.01,
84,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,4.77,0.07,
85,APAR TECHNOLOGIES,Singapore,APAR TECHNOLOGIES,REGION,IT AND SOFTWARE SERVICES,0.05,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PVT LTD,,PTE LTD,NOT INDICATED,,,,
86,MANJUSHREE TEHCNOPACK LTD,Mauritius,LADOGA HOLDINGS LTD,REGION NOT INDICATED,"MFG OF PET BOTTLE, CONTAINER, JAR AND PREFORM",32.13,0.50,
87,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.06,0.00,
88,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.09,0.00,
89,MANJUSHREE TEHCNOPACK LTD,Mauritius,LADOGA HOLDINGS LTD,REGION NOT INDICATED,"MFG OF PET BOTTLE, CONTAINER, JAR AND PREFORM",694.27,10.87,
90,SEI SOLAR ENERGY PVT LTD,Singapore,SUNEDISON ENERGY HOLDING (SINGAPORE) PTE,REGION NOT INDICATED,SETTING UP AND GENERATING POWER FROM SOLAR POWER PLANTS,329.74,5.16,
91,LIQUID BARCODES TECH PVT LTD,Norway,LIQUID BARCODES AS,"REGION NOT
INDICATED",COMPUTER & RELATED ACTIVITY,0.05,0.00,
92,EUCLID INNOVATIONS PVT LTD,U.S.A,EUCLID INNOVATIONS INC,"REGION
NOT INDICATED",PROVIDING SOFTWARE SUPPORT AND MAINTENANCE TO THE CLIENTS,0.59,0.01,
93,MERITON INFOTECH PVT LTD,Mauritius,"NEW VERNON PVT EQUITY LTD, TRI-PRO
ADMIN","REGION NOT
INDICATED",OPERATING AND MAINTAINING INDUSTRIAL PARKS,33.37,0.52,
94,BFC FOREX AND FINANCIAL SERVICES PVT LTD,Baharain,BFC GROUP HOLDINGS WLL,REGION NOT INDICATED,FULL FLEDGED MONEY CHANGER AND MONEY TRANSFER AGENT,1.81,0.03,
95,CLARISE TECHNOLOGIES PVT LTD,Spain,GLOBANT SA,REGION NOT INDICATED,SOFTWARE DEVELOPMENT SERVICES,49.81,0.78,
96,SYNUP DIGITAL PVT LTD,U.S.A,SYNUP CORPORATION,REGION NOT INDICATED,DESIGN AND IMPLEMENTATION OF IT SOLUTIONS,0.05,0.00,
97,METAFRIQUE TRADING PVT LTD,UAE,METAFRIQUE DMCC,REGION NOT INDICATED,RETAIL TRADE IN INDUSTRIAL MACHINERY AND EQUIPMENTS,0.84,0.01,
98,NIRLON LTD,Singapore,RECO BERRY PVT LTD,REGION NOT INDICATED,INDUSTRIAL PARKS,"2,175.60",34.07,
99,EAPPSYS INFO SOLUTIONS PVT LTD,United Kingdom,EAPPSYS LTD,REGION NOT INDICATED,"ITES, BPO SERVICES",2.65,0.04,
100,REED MUNCH EXHIBITIONS P LTD,Netherlands,REED ELSEVIER OVERSEAS BV,REGION NOT INDICATED,ORGANIZATION OF TRADE SHOWS AND CONVENTIONS,2.99,0.05,
101,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,3.36,0.05,
102,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,36.53,0.57,
103,URBAN LADDER HOME DÉCOR SOLUTIONS PVT LT,Mauritius,STEADVIES CAPITAL MAURITIUS LTD,REGION NOT INDICATED,ONLINE MARKETPLACE FOR FURNITURE RETAILERS,9.51,0.15,
104,CONCEPT HOSPITALITY PVT LTD,Mauritius,BUSI INDIA HOLDINGS LTD,REGION NOT INDICATED,HOTELS AND RESTAURANTS,30.00,0.47,
105,POPCORN APPS SOFTWARE PVT LTD,U.S.A,SRI SAMVIT RAINA,REGION NOT INDICATED,DESIGNING AND PROGRAMMING OF CUSTOM SOFTWARE,3.60,0.06,
106,"OMNESYS TECHNOLOGIES PVT
LTD",Singapore,"THOMSON REUTERS CORPORATION
SINGAPORE PT","REGION NOT
INDICATED",SOFTWARE SERVICE PROVIDER,860.29,13.47,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
107,MERITON INFOTECH PVT LTD,Mauritius,"NEW VERNON PVT EQUITY LTD, TRI-PRO ADMIN",REGION NOT INDICATED,OPERATING AND MAINTAINING INDUSTRIAL PARKS,99.17,1.55,
108,CLARISE TECHNOLOGIES PVT LTD,Spain,GLOBANT SA,REGION NOT INDICATED,SOFTWARE DEVELOPMENT SERVICES,15.61,0.24,
109,SUPER AGRI SEEDS PVT LTD,Mauritius,INDIA AGRI BUSINESS FUND LTD,REGION NOT INDICATED,"PRODUCER AND SUPPLIER OF QUALITY SEEDS OF COTTON, FIELD CROPS AND VEGETABLES",19.86,0.31,
110,NOBEL HYGIENE P LTD,Singapore,VIVID INVESTMENT HOLDINGS PTE LTD,REGION NOT INDICATED,"MFG AND SELLING OF PERSONAL HYGIENE PRODUCTS LIKE BABY DIAPERS, ADULT DIAPERS, SANITARY
NAPKINS, ETC",55.24,0.86,
111,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,11.61,0.18,
112,EAPPSYS INFO SOLUTIONS PVT LTD,United Kingdom,EAPPSYS LTD,REGION NOT INDICATED,"ITES, BPO SERVICES",0.05,0.00,
113,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,22.99,0.36,
114,CREATIVE CURRENTS CONSULTING P LTD,Germany,AUSSTELLUNGS-UND MESSE GMBH,REGION NOT INDICATED,CONSULTING SERVICES & TRAINING,0.05,0.00,
115,KSS ABHISHEK SAFETY SYSTEMS PVT LTD,U.S.A,KEY SAFETY SYSTEMS INC,REGION NOT INDICATED,"MANUFACTURING AND SELLING AUTOMOTIVE SEAT BELTS, SEATBELT ASSEMBLIES, AIRBAG MODULE ASSEMBLIES AND STEERING WHEELS",35.43,0.55,
116,CLARISE TECHNOLOGIES PVT LTD,Spain,GLOBANT SA,REGION NOT INDICATED,SOFTWARE DEVELOPMENT SERVICES,255.53,4.00,
117,"APTUS VALUE HOUSING FINANCE
INDIA LTD",Mauritius,WESTBRIDGE CROSSOVER FUND LLC,"REGION NOT
INDICATED",HOUSING FINANCE,18.26,0.29,
118,GEECY INDUSTRIAL SERVICES PVT LTD,Belgium,VONCOTTE INTERNATIONAL,"REGION
NOT INDICATED","NON DESTRUCTIVE TESTING INCLUDING
RADIOGRAPHIC TESTING AND OTHER FORMS",24.97,0.39,
119,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.08,0.00,
120,APTUS VALUE HOUSING FINANCE INDIA LTD,Mauritius,WESTBRIDGE CROSSOVER FUND LLC,REGION NOT INDICATED,HOUSING FINANCE,2.31,0.04,
121,BFC FOREX AND FINANCIAL SERVICES PVT LTD,Baharain,EBRAHIM NONOO,REGION NOT INDICATED,FULL FLEDGED MONEY CHANGER AND MONEY TRANSFER AGENT,0.00,0.00,
122,LOCODEL SOLUTIONS PVT LTD,U.S.A,NEERAJ ARORA,REGION NOT INDICATED,LOGISTICS SERVICES,3.22,0.05,
123,CONTINENTAL HOSPITALS LTD,Singapore,GLENEAGLES DEVELOPMENT PTE LTD,REGION NOT INDICATED,HOSPITAL ACTIVITIES,300.00,4.70,
124,MICROCHEM SILLIKER PVT LTD,U.S.A,MERIEUX NUTRISCIENCES CORPORATION,REGION NOT INDICATED,TECHNICAL TESTING AND ANALYSIS SERVICES,46.55,0.73,
125,NOBEL HYGIENE P LTD,Singapore,VIVID INVESTMENT HOLDINGS PTE LTD,REGION NOT INDICATED,"MFG AND SELLING OF PERSONAL HYGIENE PRODUCTS LIKE BABY DIAPERS, ADULT DIAPERS, SANITARY NAPKINS, ETC",19.96,0.31,
126,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,"REGION NOT
INDICATED",SOFTWARE DEVELOPMENT,0.08,0.00,
127,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,"REGION
NOT INDICATED",SOFTWARE DEVELOPMENT,0.20,0.00,
