Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
84,LOHA ISPAAT LTD,Cyprus,PROGRUSS INVESTMENTS LTD,MUMBAI,Manufacture of other basic iron and steel n.e.c,76.05,1.19,
85,LOHA ISPAAT LTD,Cyprus,PROGRUSS INVESTMENTS LTD,MUMBAI,Manufacture of other basic iron and steel n.e.c,65.52,1.03,
86,TRENDSUTRA PLATFORM SERVICES PVT LTD,Cyprus,trendsutra cyprus,MUMBAI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",321.39,5.03,
87,UNITED BISCUITS PVT LTD,Cyprus,UNITED BISCUITS CYPRUS LIMITED,NEW DELHI,"Manufacture of biscuits, cakes, pastries, rusks etc.",125.17,1.96,
88,ISOLUX CORSAN POWER CONCESSIONS INDIA PR,Cyprus,Isolux Corsan Energy Cyprus Limited,NEW DELHI,Electric power generation and transmission by nuclear power plants,402.23,6.30,
89,WEST ONE ELECTRONIC CITY PRIVATE LIMITED,Cyprus,FEDORETAS LIMITED,BANGALORE,Construction of buildings carried out on own- account basis or on a fee or contract basis,4.80,0.08,
90,BOULEVARD PROJECTS PRIVATE LIMITED,Cyprus,Ziasess Ventures Limited,NEW DELHI,Other specialized construction activities,0.00,0.00,
91,HMS REAL ESTATE PVT. LTD.,Cyprus,Emansar Ltd.,NEW DELHI,Construction of buildings carried out on own- account basis or on a fee or contract basis,4.61,0.07,
92,SURYADEV ALLOYS AND POWER PRIVATE LIMITE,Cyprus,Terentula holdings Limited,CHENNAI,Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or,881.83,13.81,
93,GLOBUS STEEL AND POWER PRIVATE LIMITED,Cyprus,focal energy solar three ltd,NEW DELHI,Electric power generation using solar energy,62.12,0.97,
94,K.K.MILK FRESH INDIA LTD.,Cyprus,"Chapelco Holdings Limited Avlonos 1, Mar",KANPUR,Production of milk from cows or buffaloes,54.56,0.85,
95,GLOBUS STEEL AND POWER PRIVATE LIMITED,Cyprus,Focal Energy Solar Three Limited,NEW DELHI,Electric power generation using solar energy,195.20,3.06,
96,CREATIVE WEBMEDIA PVT LTD,Cyprus,Rionole Holdings Limited,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,18.41,0.29,
97,SURYADEV ALLOYS AND POWER PRIVATE LIMITE,Cyprus,Terentula Holdings ltd,CHENNAI,"Manufacture of electricity distribution and control apparatus (electrical apparatus for
switching or",137.42,2.15,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
98,BOULEVARD PROJECTS PRIVATE LIMITED,Cyprus,Ziasess,NEW DELHI,Other specialized construction activities,249.94,3.91,
99,SWASTHA HEALTH AND WELLNESS PVT LTD,Cyprus,INVENTIAC PRIVATE LIMITED,CHENNAI,Activities of Ayurveda practitioners,1.14,0.02,
100,IVY BPO SERVICES PRIVATE LIMITED,Cyprus,BELLINGRATH ENTERPRISES LIMITED,HYDERABAD,Data processing activities including report writing,23.53,0.37,
101,OZONE URBANA INFRA DEVELOPERS PVT.LTD.,Cyprus,AVRONEST LIMITED,BANGALORE,Construction of buildings carried out on own- account basis or on a fee or contract basis,18.85,0.30,
102,PACIFICA (CHENNAI OLD MAHABALIPURAM ROAD,Cyprus,PAC VENTURES LTD,AHMEDABAD,Construction of buildings carried out on own- account basis or on a fee or contract basis,1.11,0.02,
103,PACIFICA (CHENNAI OLD MAHABALIPURAM ROAD,Cyprus,PAC VENTURES LTD,AHMEDABAD,Construction of buildings carried out on own- account basis or on a fee or contract basis,"1,122.80",17.58,
104,PACIFICA (CHENNAI OLD MAHABALIPURAM ROAD,Cyprus,PAC HINJEWADI LTD,AHMEDABAD,Construction of buildings carried out on own- account basis or on a fee or contract basis,256.13,4.01,
105,DUET INDIA HOTELS (PUNE) PVT LTD,Cyprus,D.I.H. (Cyprus) SPV (No.3) Ltd,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",177.50,2.78,
106,IVY SOFTWARE DEVELOPMENT SERVICES PVT L,Cyprus,Bellingrath Enterprises Ltd,HYDERABAD,Providing software support and maintenance to the clients,48.87,0.77,
107,UNITED BISCUITS PVT LTD,Cyprus,UNITED BISCUITS CYPRUS LIMITED,NEW DELHI,"Manufacture of biscuits, cakes, pastries, rusks etc.",148.09,2.32,
108,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Conveyor Teknik A/S,CHENNAI,Manufacture of office machinery and equipment,0.10,0.00,
109,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Jakob Hvidt Larsson,CHENNAI,Manufacture of office machinery and equipment,0.00,0.00,
110,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Conveyor Teknik A/S,CHENNAI,Manufacture of office machinery and equipment,4.47,0.07,
111,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,The Industrialisation Fund For Developin,CHENNAI,Manufacture of office machinery and equipment,4.39,0.07,
112,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Conveyor Teknik A/S,CHENNAI,Manufacture of office machinery and equipment,1.29,0.02,
113,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Conveyor Teknik A/S,CHENNAI,Manufacture of office machinery and equipment,3.57,0.06,
114,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,The Industrialisation Fund For Developin,CHENNAI,Manufacture of office machinery and equipment,2.45,0.04,
