Table No.18 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING MARCH, 2015",,,,,,,,
56,MICRO PNEUMATICS PVT LTD,Japan,KITZ CORPORATION,REGION NOT INDICATED,MANUFACTUR,3.45,0.06,
57,ADCOCK INGRAM LTD,Spain,TEDEC MEIJI FARMA SA,REGION NOT INDICATED,MANUFACTUR,0.00,0.00,
58,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,9.93,0.16,
59,MEDREICH LIFE CARE LTD,Spain,TEDEC MEIJI FARMA SA,REGION NOT INDICATED,MARKETING,0.08,0.00,
60,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION
NOT INDICATED",MANUFACTUR,9.98,0.16,
61,MEDREICH LTD,Japan,MEIJI SEIKA PHARMA CO LTD,REGION NOT INDICATED,PHARMA FOR,0.00,0.00,
62,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION NOT
INDICATED",MANUFACTUR,7.07,0.11,
63,ADCOCK INGRAM LTD,Thailand,THAI MEIJI PHARMACEUTICAL CO LTD,REGION NOT INDICATED,MANUFACTUR,0.00,0.00,
64,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,7.71,0.12,
65,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,1.34,0.02,
66,MEDREICH LTD,Spain,TEDEC MEIJI FARMA SA,REGION NOT INDICATED,PHARMA FOR,0.00,0.00,
67,FORUS HEALTH PVT,Mauritius,IDG VENTURES INDIA,REGION,DEVELOPING,4.34,0.07,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LTD,,I LLC,NOT INDICATED,,,,
68,ORBINOX INDIA PVT LTD,Spain,ORBINOX INTERNATIONAL SL,REGION NOT INDICATED,MANUFACTUR,10.77,0.17,
69,IPLACE INDIA LTD,U.S.A,IPLACE USA INC,REGION NOT INDICATED,OTHER INFO,0.07,0.00,
70,TRIVECTOR ORIGIO SCIENTIFIC PVT LTD,Denmark,ORIGIO A/S,REGION NOT INDICATED,"BUYING, IM",204.62,3.28,
71,IPLACE INDIA LTD,U.S.A,IPLACE USA INC,REGION NOT INDICATED,OTHER INFO,1.65,0.03,
72,COURSEMASTER ASIA PRIVATE LTD,U.S.A,COURSEMASTER INC,REGION NOT INDICATED,COURSES WO,0.01,0.00,
73,SULZER FRICTIONS SYSTEM (INDIA) LTD (FOR,Switzerland,SULZER AG,REGION NOT INDICATED,MANUFACTUR,0.50,0.01,
74,CRYPTOPY TECHNOLOGIES PVT LTD,Mauritius,KALAARI CAPITAL PARTNERS II LLC,REGION NOT INDICATED,ONLINE POR,6.25,0.10,
75,"DESTIMONEY
FINANCIAL SERVICES PVT LTD",Mauritius,DESTIMONEY ENTERPRISES LTD,"REGION
NOT INDICATED",MARKET RES,4.40,0.07,
