Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING APRIL 2020 TO JUNE 2020",,,,,,,,,,
58,ADRET RETAIL PRIVATE LIMITED,WEST BENGAL,Kolkata,Manufacture of ayurvedic or unani pharmaceutical preparation,Jetty Ventures India Investments Pte. Ltd,Singapore,0.00,0.00,Received in the company,
59,ADRET RETAIL PRIVATE LIMITED,WEST BENGAL,Kolkata,Manufacture of ayurvedic or unani pharmaceutical preparation,Jetty Ventures India Investments Pte. Ltd,Singapore,60.00,0.79,"Received in the
company",
60,Advanced Sterilization Products India Private Limited,MAHARASHTRA,Mumbai,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic
acid, its",ASP Global Manufacturing GmbH,Switzerland,0.01,0.00,Received in the Company,
61,Advanced Sterilization Products India Private Limited,MAHARASHTRA,Mumbai,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic
acid, its",ASP Nederland B.V,Netherland,0.01,0.00,Received in the Company,
62,Advanced System In Package Technologies Private Limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,The Vaddi Family Revocable Trust,U.S.A,6.96,0.09,Received in the Company,
63,AEGIS CARE ADVISORS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Dream Incubator Inc,Japan,35.76,0.47,Received in the,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,In Rs,In US$,,
,,,,,,,,,company,
64,"AEQUS FORCE CONSUMER PRODUCTS
PRIVATE LIMITED",KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,AIGF Investments II Private Limited,Mauritius,28.40,0.37,"Received in the
company",
65,"AEQUS FORCE CONSUMER PRODUCTS
PRIVATE LIMITED",KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,Sky Power Industrial Limited,British Virginia,28.40,0.37,"Received in the
company",
66,"AEQUS FORCE CONSUMER PRODUCTS
PRIVATE LIMITED",KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,Sky Power Industrial Limited,British Virginia,17.50,0.23,"Received in the
Company",
67,AEQUS FORCE CONSUMER PRODUCTS PRIVATE LIMITED,KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,AIGF Investments II Private Limited,Mauritius,17.50,0.23,Received in the Company,
68,"AEQUS FORCE CONSUMER PRODUCTS
PRIVATE LIMITED",KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,AIGF Investments II Private Limited,Mauritius,18.00,0.24,"Received in the
company",
69,"AERIES FINANCIAL TECHNOLOGIES
PRIVATE LIMITED",MAHARASHTRA,Mumbai,Other information service activities n.e.c.,TSLC PTE LTD,Singapore,70.50,0.92,"Received in the
company",
70,AES INDIA PRIVATE LIMITED,DELHI,South Delhi,Transmission of electric energy,The AES Corporation,U.S.A,120.00,1.59,"Received in the
Company",
71,AESTHETIC NUTRITION PRIVATE LIMITED,DELHI,South Delhi,Wholesale of other basic/manufactured food stuffs n.e.c.,DSG CONSUMER PARTNERS III,Mauritius,0.01,0.00,"Received in the
company",
72,AESTHETIC NUTRITION PRIVATE LIMITED,DELHI,South Delhi,Wholesale of other basic/manufactured food stuffs n.e.c.,DSG CONSUMER PARTNERS III,Mauritius,29.99,0.39,"Received in the
company",
73,AFG BUSINESS SOLUTIONS (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",AFG India Holdings Pte Ltd,Singapore,7.00,0.09,Received in the Company,
74,"AFG BUSINESS SOLUTIONS (INDIA)
PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",AFG India Holdings Pte Ltd,Singapore,7.00,0.09,"Received in the
company",
75,"AFRICURE PHARMACEUTICALS (INDIA)
PRIVATE LIMITED",MAHARASHTRA,Thane,Manufacture of allopathic pharmaceutical preparations,Africure Pharmaceuticals Limited,Mauritius,15.30,0.20,"Received in the
Company",
76,AGEXDISP INDIA PRIVATE LIMITED,MAHARASHTRA,Aurangabad,Other information technology and computer service activities n.e.c,ARTGUILD OF PHILADEPHIA INC,U.S.A,7.10,0.09,Received in the Company,
77,"AGLIN GLOBAL LOGISTICS PRIVATE
LIMITED",HARYANA,Gurgaon,Activities of shipping cargo agents,Jin Soon Kim,South Korea,3.81,0.05,"Received in the
company",
78,AGNIKUL COSMOS PRIVATE LIMITED,TAMIL NADU,Chennai,Technical testing and analysis,"Globevestor Funds, LLC",U.S.A,9.01,0.12,"Received in the
company",
79,AGNIKUL COSMOS PRIVATE LIMITED,TAMIL NADU,Chennai,Technical testing and analysis,"Globevestor Angel Fund II, LLC",U.S.A,3.54,0.05,"Received in the
company",
80,AGP CGD INDIA PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,72.13,0.95,"Received in the
company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,In Rs,In US$,,
81,AGP CGD INDIA PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,42.49,0.56,Received in the company,
82,AGP CGD INDIA PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,369.64,4.85,"Received in the
company",
83,AGP CGD INDIA PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,485.25,6.37,"Received in the
company",
84,AGP CGD INDIA PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,35.48,0.47,"Received in the
company",
85,AGP CGD INDIA PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,115.47,1.51,"Received in the
company",
86,AGP CITY GAS PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,38.72,0.51,"Received in the
company",
87,AGP CITY GAS PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,ATLANTIC GULF AND PACIFIC CO OF MANILA INC,Philippines,37.20,0.49,Received in the company,
88,"Agrestal Organic Living India Private
Limited","HIMACHAL
PRADESH",Shimla,Manufacture of knitted and crocheted woolen fabrics,Natural Bedding Components LLC,U.S.A,6.79,0.09,"Received in the
company",
89,Agribuddy India Private Limited,HARYANA,Gurgaon,"Other supporting activities including agricultural gardening
(excluding parks and gardening activities), n.e.c.",Agribuddy Limited,HongKong,10.54,0.14,"Received in the
company",
90,Agribuddy India Private Limited,HARYANA,Gurgaon,"Other supporting activities including agricultural gardening (excluding parks and gardening activities), n.e.c.",Agribuddy Limited,HongKong,7.15,0.09,Received in the Company,
91,AGRIM WHOLESALE PRIVATE LIMITED,HARYANA,Hisar,"Activities of commission agents, brokers dealing in wholesale
trade of agricultural raw material,live animals, food, beverages, intoxicants and textiles",SPROUT INVESTMENTS II,Mauritius,2.99,0.04,Received in the company,
92,"AHAGURU EDUCATION TECHNOLOGY
PRIVATE LIMITED",TAMIL NADU,Chennai,OTHER EDUCATIONAL SERVICES N.E.C.,Geetha Rajagopal and Srinivasa Rajagopal,U.S.A,2.11,0.03,"Received in the
company",
93,AHARAM FOODS PRIVATE LIMITED,UTTAR PRADESH,Pratapgarh,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc.
(this excludes the",Maximilan Grimminger,Germany,3.81,0.05,Received in the Company,
94,AICELLO INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Packaging activities,AICELLO CORPORATION,Japan,5.00,0.07,"Received in the
company",
95,AICELLO INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Packaging activities,"AICELLO THAILAND CO., LTD.",Thailand,15.00,0.20,Received in the company,
96,AIDAN LABS PRIVATE LIMITED,HARYANA,Sirsa,"Growing of vegetables, n.e.c.",Himikara Technologies Inc.,U.S.A,4.73,0.06,"Received in the
company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,In Rs,In US$,,
97,Aidastech India Private Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Hari S Swaminathan,U.S.A,0.06,0.00,Received in the company,
98,AIPALETTE INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service activities
n.e.c",AI PALETTE PTE. LTD.,Singapore,0.10,0.00,"Received in the
company",
99,AIR WATER INDIA PRIVATE LIMITED,West Bengal,North 24 parganas,"Wholesale of solid, liquid and gaseous fuels and related products",AIR WATER INC.,Japan,11150.00,146.26,Brownfield,
100,AITL CONSULTANCY PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Other information technology and computer service activities
n.e.c",ANUPAMA BHARDWAJ,Malaysia,0.05,0.00,"Received in the
company",
101,AITL CONSULTANCY PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Other information technology and computer service activities n.e.c,DHEERAJ,Malaysia,0.05,0.00,Received in the company,
102,AKAL HR SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,Activities of employment placement agencies,"TSK CO, LTD",Japan,0.05,0.00,"Received in the
company",
103,AKAL INFORMATION SYSTEMS LIMITED,DELHI,South Delhi,Providing software support and maintenance to the clients,NISHIKAWA COMMUNICATIONS CO. LTD,Japan,7.48,0.10,"Received in the
company",
104,AKAL INFORMATION SYSTEMS LIMITED,DELHI,South Delhi,Providing software support and maintenance to the clients,TOSHIE ISHIZAKI,Japan,1.87,0.02,"Received in the
company",
105,AKAL INFORMATION SYSTEMS LIMITED,DELHI,South Delhi,Providing software support and maintenance to the clients,MAKITA KOGYA INC,Japan,37.42,0.49,"Received in the
company",
106,AKAL INFORMATION SYSTEMS LIMITED,DELHI,South Delhi,Providing software support and maintenance to the clients,HIDEHARU WATANABE,Japan,3.74,0.05,"Received in the
company",
107,AKAL INFORMATION SYSTEMS LIMITED,DELHI,South Delhi,Providing software support and maintenance to the clients,KAZUYUKI KURAMORI,Japan,1.87,0.02,Received in the company,
108,AKNA MEDICAL PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale of pharmaceutical and medical goods,"Lightstone Fund S.A. for and on behalf of the Lightstone
Global Fund",Luxembourg,0.01,0.00,"Received in the
company",
109,AKNA MEDICAL PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale of pharmaceutical and medical goods,"Lightstone Fund S.A. for and on behalf of the Lightstone
Global Fund",Luxembourg,489.99,6.43,"Received in the
company",
110,AKSHAYAKALPA FARMS AND FOODS PRIVATE LIMITED,KARNATAKA,Tumakuru,Manufacture of other dairy products n.e.c.,"Venture Dairy Enterprises, LLC",U.S.A,14.29,0.19,Received in the Company,
111,AKSHAYAM AQUATECH PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Manufacture of synthetic flavoured concentrates and syrups,KOUDIJS ARIEN JOHANNES DIRK,Singapore,0.55,0.01,"Received in the
Company",
112,Aktivolabs Digital Health Private Limited,WEST BENGAL,Kolkata,"Other human health activities n.e.c. (including independent
ambulance activities)",Aktivolabs Pte. Ltd.,Singapore,2.59,0.03,"Received in the
company",
