Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER APPROVAL ROUTE
RECEIVED DURING OCTOBER 2018 TO DECEMBER, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
67,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,Publishing of journals and periodicals,6.00,0.08,
68,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,Publishing of journals and periodicals,8.00,0.11,
69,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,Publishing of journals and periodicals,8.00,0.11,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
70,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,Publishing of journals and periodicals,5.00,0.07,
71,DEEPKIRAN FOODS PVT LTD,U.S.A,Deep Food Inc,AHMEDABAD,"Other semi-processed, processed or
instant foods n.e.c. except farinaceous products and malted foods",3.00,0.04,
72,DEEPKIRAN FOODS PVT LTD,U.S.A,Archit Arvindbhai Amin,AHMEDABAD,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods",12.00,0.16,
73,DEEPKIRAN FOODS PVT LTD,U.S.A,Deepak Arvindbhao Amin,AHMEDABAD,"Other semi-processed, processed or
instant foods n.e.c. except farinaceous products and malted foods",12.00,0.16,
74,DEEPKIRAN FOODS PVT LTD,U.S.A,Bhagwatiben A Amin,AHMEDABAD,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods",1.50,0.02,
75,DEEPKIRAN FOODS PVT LTD,U.S.A,Arvindbhai N Amin,AHMEDABAD,"Other semi-processed, processed or instant foods n.e.c. except farinaceous
products and malted foods",1.50,0.02,
76,Tikona Infinet Private Limited,U.S.A,International Finance Corporation,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,594.99,8.08,
77,Tikona Infinet Private Limited,U.S.A,International Finance Corporation,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.08,0.00,
78,Tikona Infinet Private Limited,U.S.A,International Finance Corporation,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.13,0.00,
79,Quintillion Business Media Private Limit,U.S.A,Bloomberg L.P,NEW DELHI,Television programming and broadcasting activities,73.79,1.03,
Grand Total,,,,,,"20,398.56",282.13,
