Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
93,Think & Learn Private Limited,Singapore,General Atlantic Singapore TL Pte. Ltd,REGION NOT INDICATED,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in
principle, access to higher education",2.13,0.03,
94,Snitch Properties And Services Private L,Cayman Islands,BREP VIII SBS Indian L and T Holding II,REGION NOT INDICATED,Real estate activities with own or leased property,0,0,
95,HIBROW HEALTHCARE PRIVATE LIMITED,U.S.A,PATRICK BENSON,"REGION
NOT INDICATED",Manufacture of allopathic pharmaceutical preparations,0.01,0,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
96,Tavisca Solutions Private Limited,U.S.A,Affinion Group Inc.,"REGION NOT
INDICATED","Other data processing, hosting and related activities n.e.c.",40.59,0.58,
97,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIM,Mauritius,Steadview Capital Mauritius Limited,REGION NOT INDICATED,Other business support service activities n.e.c,40.03,0.58,
98,GOISU REALTY PRIVATE LIMITED,Japan,SUMITOMO REALTY AND DEVELOPMENT CO LTD,"REGION NOT
INDICATED",Real estate activities with own or leased property,0,0,
99,GEM ORION MACHINERY PRIVATE LIMITED,Japan,ORION MACHINERY COMPANY LIMITED,REGION NOT INDICATED,"Manufacture of refrigerating or freezing equipment for industrial use, including assemblies of major components",11.59,0.17,
100,Sisecam Flat Glass India Limited,Turkey,TRAKYA CAM SANAYII A.S.,REGION NOT INDICATED,"Manufacture of glass in primary or semi-manufactured forms (such as sheets and plate glass) including mirror sheets and wired, coloured, tinted,
toughened or laminated glass",24.16,0.35,
101,Letspie Entertainment Private Limited,China,Oxy Technology Limited,REGION NOT INDICATED,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",0.1,0,
102,Irification Technology Private Limited,China,Beijing Irisking Co. Ltd.,"REGION NOT
INDICATED",Computer consultancy and computer facilities management activities,0.1,0,
103,BOSON MOTORS PRIVATE LIMITED,U.S.A,BOSON MOTORS INC,REGION NOT INDICATED,Manufacture of electric motors (except internal combustion engine starting motors),0.9,0.01,
104,VP Tax PRIVATE LIMITED,U.S.A,Global Upside LLC,REGION NOT INDICATED,"Accounting, bookkeeping and auditing activities",0.1,0,
105,KAMA AYURVEDA PRIVATE LIMITED,Switzerland,PUIG INTERNATIONAL SA,REGION NOT INDICATED,"Manufacture of cosmetics and toileteries (includes manufacture of pre-shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath
salts and other bath prepa",408,5.87,
106,RUPEEK FINTECH PRIVATE LIMITED,Mauritius,SCI INVESTMENTS V,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,1.3,0.02,
107,CROWDANALYTIX SOLUTIONS PRIVATE LIMITED,Japan,MACNICA INC,REGION NOT INDICATED,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",207.3,2.98,
108,BYGGING INDIA LTD,Spain,GLOBAL DOMINION ACCESS S.A.,REGION NOT INDICATED,Other specialized construction activities,102.13,1.47,
109,MOTIVATING GRAPHICS INDIA PRIVATE LIMITE,U.S.A,CHRISTOPHER CLARK,REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys,
bottles etc.)",0,0,
110,Essar Steel Metal Trading Limited,Mauritius,Essar Ports and Shippling Limited,REGION NOT INDICATED,Wholesale of metals and metal ores,856.78,12.33,
111,Triveni Aeronautics,Canada,Magellan Aerospace,REGION,Manufacture of parts and accessories,8.25,0.12,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,Private Limited,,Limited,NOT INDICATED,"of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks,
nacelles, airscrews, he",,,
112,ZEVA CAPSOL PRIVATE LIMITED,HongKong,SMART DRAGONS (ASIA PACIFIC) LIMITE,REGION NOT INDICATED,Activities auxiliary to financial service activities n.e.c.,3.83,0.06,
113,SKECHERS RETAIL INDIA PRIVATE LIMITED,U.S.A,Skechers S.a.r.l.,"REGION NOT
INDICATED",Retail sale of footwear,440.01,6.33,
114,SKECHERS SOUTH ASIA PRIVATE LIMITED,Netherlands,Skechers USA Benelux B.V.,REGION NOT INDICATED,Wholesale of footwear,"5,415.01",77.94,
115,BYGGING INDIA LTD,Spain,GLOBAL DOMINION ACCESS S.A.,"REGION
NOT INDICATED",Other specialized construction activities,27.12,0.39,
116,BURGEON SOFTWARE PRIVATE LIMITED,U.S.A,CATENA GLOBAL SOLUTIONS LLC,REGION NOT INDICATED,Web-page designing,4.36,0.06,
117,Perfios Software Solutions Private Limit,Mauritius,Bessemer India Capital Holdings II Ltd,"REGION NOT
INDICATED",Providing software support and maintenance to the clients,2.55,0.04,
