Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JANUARY 2016 TO MARCH, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
92,MARKS & SPENCER RELIANCE INDIA PVT LTD,United Kingdom,MARKS AND SPENCER INTERNATIONAL HOLDINGS,MUMBAI,Retail sale of household furniture,253.98,3.78,
93,MARKS & SPENCER RELIANCE INDIA PVT LTD,United Kingdom,"MARKS AND SPENCER INTERNATIONAL
HOLDINGS",MUMBAI,Retail sale of household furniture,203.90,3.03,
94,SIDBI SOCIAL VENTURE TRUST,United Kingdom,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,NEW DELHI,Management of other investment funds,500.00,7.33,
95,GOLDMAN SACHS ASSET MANAGEMENT INDIA PVT,United Kingdom,Goldman sachs Holdings (U.K.)( Nominee s,MUMBAI,Management of mutual funds,0.00,0.00,
96,WALL STREET JOURNAL INDIA PUBLISHING PVT,U.S.A,DOW JONES AND CO INC,MUMBAI,Publishing of newspapers,25.19,0.37,
97,WALL STREET JOURNAL INDIA PUBLISHING PVT,U.S.A,DOW JONES AND CO INC,MUMBAI,Publishing of newspapers,5.52,0.08,
98,INFXQ KNOWLEDGE SERVICES PVT LTD,U.S.A,INFXQ SYSTEMS INC. NJ,BANGALORE,Other information technology and computer service activities n.e.c,10.88,0.16,
99,ENCORE ASSET RECONSTRUCTION COMPANY PRIV,U.S.A,INTERNATIONAL FINANCE CORPORATION,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",4.80,0.07,
100,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,VARIOUS INVESTORS AS PER ANNEXURE,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",7.57,0.11,
101,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,KISHORE DURGA,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
102,LIFE POSITIVE PVT. LTD.,U.S.A,ADITYA SINGH AHLUWALIA,NEW DELHI,Publishing of journals and periodicals,3.30,0.05,
103,WALL STREET JOURNAL INDIA PUBLISHING PVT,U.S.A,DOW JONES AND CO INC,MUMBAI,Publishing of newspapers,9.76,0.15,
104,WALL STREET JOURNAL INDIA PUBLISHING PVT,U.S.A,DOW JONES AND CO INC,MUMBAI,Publishing of newspapers,22.00,0.33,
105,PAR FORMULATIONS PVT LTD,U.S.A,PAR PHARMACEUTICALS INC,CHENNAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine","1,063.29",15.81,
106,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,"INTERNATIONAL ASSOCIATION OF
PLUMBING AN",BANGALORE,Other publishing activities (including on- line) n.e.c.,2.50,0.04,
107,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,Various Investors,AHMEDABAD,Wholesale of pharmaceutical and medical goods,257.58,3.77,
108,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,VARIOUS INVESTORS AS PER LIST,AHMEDABAD,Manufacture of medicinal substances used in the manufacture of,0.02,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,"pharmaceuticals: antibiotics, endocrine",,,
109,DRESSER RAND INDIA PVT LTD,U.S.A,DRESSER  RAND COMPANY,MUMBAI,Manufacture of metal containers for compressed or liquefied gas,487.65,7.15,
110,STAR INDIA PVT LTD,British Virginia,STAR ENTERTAINMENT HOLDINGS LTD,MUMBAI,Radio broadcasting,354.78,5.20,
111,STAR INDIA PVT LTD,British Virginia,STAR TELEVISION TECHNICAL SERVICES LTD,MUMBAI,Radio broadcasting,25.56,0.37,
112,STAR INDIA PVT LTD,British Virginia,STAR ENTERTAINMENT HOLDINGS LTD,MUMBAI,Radio broadcasting,"8,631.52",126.49,
113,STAR INDIA PVT LTD,"Country Details
Awaited",STAR TELEVISION TECHNICAL SERVICES LTD,MUMBAI,Radio broadcasting,621.85,9.11,
114,BERKELEY PETROCHEMICALS PVT  LTD.,Belize,Noblegreen Services Ltd. Remuneration Tr,NEW DELHI,Manufacture of electric motors (except internal combustion engine starting motors),3.49,0.05,
115,"BERKELEY
PETROCHEMICALS PVT  LTD.",Belize,noblegreen services limited remuneration,NEW DELHI,"Manufacture of electric motors (except
internal combustion engine starting motors)",5.71,0.08,
Grand Total,,,,,,"47,476.56",699.01,
