Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING JANUARY 2020 TO MARCH 2020",,,,,,,,,,
94,CANNYSYS IT SOLUTIONS PRIVATE LIMITED,ANDHRA PRADESH,Visakhapatn am,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",I-9 TECHNOLOGIES,U.S.A,0.16,0.00,Received in the company,
95,CENTINA SYSTEMS (INDIA) PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,"Ciena International, Inc.",U.S.A,0.00,0.00,Received in the company,
Sr.No.,Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
96,CEVA SOFTWARE (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,Providing software support and maintenance to the clients,Yatin Mukesh Mehta,Kenya,0.10,0.00,Received in the company,
97,Changfang Semiconductor Private Limited,UTTAR PRADESH,"Gautam Buddha
Nagar","Manufacture of display components (plasma, polymer, LCD, LED)",Tu Xiao,China,0.01,0.00,Received in the Company,
98,CHEMECA DRUGS PRIVATE LIMITED,ANDHRA PRADESH,Visakhapatn am,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid",SCIGEN PHARMACEUTICALS INC,U.S.A,124.39,1.67,Received in the Company,
99,CHEMPAKA KINDERGARTEN PRIVATE LIMITED,KERALA,Thiruvanant hapuram,Pre-primary education (education preceding the first level),PRESANNA RAJ VASUDEVAN NAIR,UAE,69.84,0.98,Received in the company,
100,CHI ENERGIE PRIVATE LIMITED,HARYANA,Gurgaon,"Other professional, scientific and technical activities n.e.c.",Chi Energie (Singapore) Pte.Ltd,Singapore,0.10,0.00,Received in the Company,
101,CHRYSALISGOLD TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,AKARA TECHNOLOGIES FZE,UAE,0.05,0.00,Received in the company,
102,CIRO TRADE PRIVATE LIMITED,KARNATAKA,Bengaluru,Wholesale of intoxicants like wines and liquors,CHRISTIAN GARRELT SAATHOFF,Germany,0.05,0.00,Received in the company,
103,CIRO TRADE PRIVATE LIMITED,KARNATAKA,Bengaluru,Wholesale of intoxicants like wines and liquors,Christian Garrelt Saathoff,Germany,0.01,0.00,Received in the company,
104,CLEAR INFO-ANALYTICS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Clear Capital Limited,United Kingdom,0.03,0.00,Received in the company,
105,CLEAR INFO-ANALYTICS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Clear Capital Limited,United Kingdom,0.03,0.00,Received in the Company,
106,CLOUDGO CONSULTING PRIVATE LIMITED,DELHI,North West Delhi,Other information technology and computer service activities n.e.c,Go-Cloud Solutions Limited,United Kingdom,0.98,0.01,Received in the company,
107,CLOUDGO CONSULTING PRIVATE LIMITED,DELHI,North West Delhi,Other information technology and computer service activities n.e.c,Go-Cloud Solutions Limited,United Kingdom,1.47,0.02,Received in the Company,
108,CLOVER VENTURES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Growing of vegetables, n.e.c.",ACCEL INDIA VI (MAURITIUS) LTD,Mauritius,7.00,0.09,Received in the Company,
109,CLP Power India Private Limited,GUJARAT,Ahmedabad,Electric power generation using other non conventional sources,CDPQ Infrastructures Asia Pte. Ltd.,Singapore,0.00,0.00,Received in the company,
110,CLP Power India Private Limited,GUJARAT,Ahmedabad,Electric power generation using other non conventional sources,Maple Highways Pte. Ltd.,Singapore,472.30,6.61,Received in the company,
111,CLP Wind Farms (Theni - Project III) Private Limited,GUJARAT,Ahmedabad,Electric power generation using other non conventional sources,Maple Highways Pte. Ltd.,Singapore,0.10,0.00,Received in the company,
112,CLP Wind Farms (Theni - Project III) Private Limited,GUJARAT,Ahmedabad,Electric power generation using other non conventional sources,CDPQ Infrastructures Asia Pte. Ltd.,Singapore,0.00,0.00,Received in the company,
113,COGNIPHI TECHNOLOGIES PRIVATE LIMITED,KERALA,Thiruvanant hapuram,Computer consultancy and computer facilities management activities,UST GLOBAL (SINGAPORE) PTE. LIMITED,Singapore,2.24,0.03,Received in the company,
114,COGNIPHI TECHNOLOGIES PRIVATE LIMITED,KERALA,Thiruvanant hapuram,Computer consultancy and computer facilities management activities,UST GLOBAL (SINGAPORE) PTE. LIMITED,Singapore,0.11,0.00,Received in the company,
115,COGNIPHI TECHNOLOGIES PRIVATE LIMITED,KERALA,Thiruvanant hapuram,Computer consultancy and computer facilities management activities,UST GLOBAL (SINGAPORE) PTE. LIMITED,Singapore,1.20,0.02,Received in the company,
Sr.No.,Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
116,COHN & WOLFE SIX DEGREES PR CONSULTANTS PRIVATE LIMITED98,DELHI,South Delhi,Management consultancy activities,WPP SINGAPORE PTE LIMITED,Singapore,30.04,0.40,Received in the Company,
117,COHN & WOLFE SIX DEGREES PR CONSULTANTS PRIVATE LIMITED98,DELHI,South Delhi,Management consultancy activities,WPP SINGAPORE PTE LIMITED,Singapore,30.04,0.40,Received in the Company,
118,CORECRED TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Providing software support and maintenance to the clients,TRUSSBOT HOLDING BV,Netherland,0.12,0.00,Received in the company,
119,CREATION INTEGRATION INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Installation of street lighting and electrical signals,CREATION GULF TRADING LLC,UAE,0.02,0.00,Received in the company,
120,CREATIVE POLYPACK LIMITED,WEST BENGAL,Howrah,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes,
cases, carboys, bottles etc.)",GPC Holdings B.V,Netherland,111.33,1.50,Received in the Company,
121,CREATIVE POLYPACK LIMITED,WEST BENGAL,Howrah,"Manufacture of plastic articles for the packing of
goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",GPC Holdings B.V,Netherland,111.33,1.50,Received in the Company,
122,CREATIVE POLYPACK LIMITED,WEST BENGAL,Howrah,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes,
cases, carboys, bottles etc.)",GPC Holdings B.V,Netherland,111.33,1.50,Received in the Company,
123,CRUMAN FAST PRIVATE LIMITED,DELHI,North Delhi,Wholesale trade via e-commerce excluding activities of commission agents,WEI PENG,China,0.06,0.00,Received in the Company,
124,CRUMAN FAST PRIVATE LIMITED,DELHI,North Delhi,Wholesale trade via e-commerce excluding activities of commission agents,WEI PENG,China,0.06,0.00,Received in the Company,
125,CSE Solar Parks Satna Private Limited,MAHARASHTRA,Mumbai,Electric power generation using solar energy,Cleantech India OA Pte. Ltd.,Singapore,145.73,2.04,Received in the company,
126,CSE Solar Sunpark Maharashtra Private Limited,MAHARASHTRA,Mumbai,Electric power generation using solar energy,Cleantech India OA Pte Ltd,Singapore,7.33,0.10,Received in the company,
127,CSE Solar Sunpark Tamil Nadu Private limited,MAHARASHTRA,Mumbai,Electric power generation using solar energy,Cleantech India OA Pte. Ltd.,Singapore,7.52,0.11,Received in the company,
128,CUNESOFT INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Research and experimental development on social sciences and humanities,CUNESOFT GMBH,Germany,0.28,0.00,Received in the company,
129,CUNESOFT INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Research and experimental development on social sciences and humanities,RAINER SCHWARZ,Germany,0.00,0.00,Received in the company,
130,CURISE ANALYTICS PRIVATE LIMITED,GUJARAT,Ahmedabad,Other business support service activities n.e.c,CU RISE ANALYTICS LLC,U.S.A,0.10,0.00,Received in the company,
